Keys,"Українська [ua-UA]"
EVENT_ROAD_CAMPAIGN_68_INTRO,"Недалеко від головної дороги за межами Похмурої Гавані ви натрапляєте на торговий візок, який прямує до міста.<br><br>""О ні... е-е, найманці, я бачу"", — заїкається купець, коли ви наближаєтеся. ""Слухайте, е-е, я знаю репутацію таких, як ви, навколо Похмурої Гавані. Будь ласка, просто візьміть, що хочете, і йдіть далі. Я-я не хочу проблем."
EVENT_ROAD_CAMPAIGN_68_OPTION_A,"Забрати все, що сподобається, і піти далі."
EVENT_ROAD_CAMPAIGN_68_OPTION_B,"Заспокоїти торговця і пояснити, що не всі найманці - кровожерливі злодії."
EVENT_ROAD_CAMPAIGN_68_RESULT_A,"Торговець сидить тихо, поки ви копаєтеся в його возі, думаючи чимось поживитися. Там немає нічого особливого, але легкість, з якою ви можете забрати добро, робить здобич ще солодшою.<br><br>Закінчивши, ви вирушаєте своєю дорогою, а торговець - своєю."
EVENT_ROAD_CAMPAIGN_68_RESULT_B,"- Що, правда? - Торговець недовірливо дивиться на вас - Що ж, вважайте, що я збентежений. Я приношу найглибші вибачення за мої необачні припущення. Часом, подорожуючи такими глухими куточками, готуєшся тільки до гіршого.<br><br>Будьте впевнені, я всім розповім, що в Похмурій гавані живуть не тільки головорізи, - каже він, на прощання піднімаючи капелюх, і відбуває геть."
EVENT_ROAD_CAMPAIGN_69_INTRO,"Ви йдете стежкою, коли раптово зліва від вас з'являється група демонів. Перебравшись через пагорб, вони прямують у ваш бік. Щоправда, з ними щось не так. Рухаються вони повільно, та й розміром значно менші, ніж ті, що зазвичай траплялися вам на шляху.<br><br>Спускаючись із пагорба, демони завмирають і оцінювально на вас дивляться. Зрозумівши, що ви не легка здобич, вони розвертаються і починають відступати."
EVENT_ROAD_CAMPAIGN_69_OPTION_A,"Швидко їх наздогнати і перебити."
EVENT_ROAD_CAMPAIGN_69_OPTION_B,"Обережно слідувати за ними і спробувати дізнатися, звідки вони прийшли."
EVENT_ROAD_CAMPAIGN_69_RESULT_A,"Ви з риком кидаєтеся на пагорб. Демони вам не рівня ні за швидкістю, ні за силою. Ви розбираєтеся з ними швидко, але не обходиться і без болю."
EVENT_ROAD_CAMPAIGN_69_RESULT_B,"Ви повільно підіймаєтеся на вершину пагорба, спостерігаючи за тим, як демони відступають на південь. Ви йдете за ними і через деякий час підходите до слабкого, нестійкого порталу в маленькій печері. У своїх подорожах ви набили руку в управлінні вимірами, тож пробурмотівши кілька заклинань, вам вдається закрити портал. У вас на це йде багато сил, але тепер демонам буде складніше захопити цей світ."
EVENT_ROAD_CAMPAIGN_6_INTRO,"Коли ви пробираєтеся крізь зарості, вашу увагу раптово привертають звуки, які видає великий звір, що копошиться в кущах. Пригнувшись, ви намагаєтеся прислухатися і зрозуміти, чиє ж це гарчання.<br><br>Крізь дерева ви бачите, що до вас наближається величезний ведмідь. Він ще не помітив вас, але це лише питання часу."
EVENT_ROAD_CAMPAIGN_6_OPTION_A,"Скориставшись моментом і втекти від ведмедя, поки він не підійшов ближче."
EVENT_ROAD_CAMPAIGN_6_OPTION_B,"Напасти на ведмедя в надії застати його зненацька"
EVENT_ROAD_CAMPAIGN_6_RESULT_A,"Ви стрілою вилітаєте з укриття і що є духу мчите геть. На щастя, ведмідь кинувся за вами, коли ви вже встигли відбігти подалі. Швидко втомившись від погоні, він відпускає ЗДОБИЧ. Але ви все ще продовжуєте бігти, поки, задихаючись, не валитеся з ніг"
EVENT_ROAD_CAMPAIGN_6_RESULT_B,"Варто вам наблизитися, як ведмідь із ревом починає відмахуватися, роздираючи вас своїми сильними лапами. Однак ефект несподіванки спрацював: злегка оторопілий ведмідь не наважується продовжувати бійку. Трохи потупцювавши, він фирчить і ховається серед дерев."
EVENT_ROAD_CAMPAIGN_7_INTRO,"Проходячи узліссям лісу, ви чуєте незвичайні звуки, що доносяться з гущі дерев. Ви зупиняєтеся, щоб прислухатися.<br><br>Вловивши в цих звуках ритм, ви починаєте розрізняти голоси людей, що накладаються один на одного. Здається, це ритуальні співи..."
EVENT_ROAD_CAMPAIGN_7_OPTION_A,"Вирушити до лісу, щоб дізнатися, хто там співає"
EVENT_ROAD_CAMPAIGN_7_OPTION_B,"Йти далі своєю дорогою. Що б там не відбувалося, вплутуватися не варто."
EVENT_ROAD_CAMPAIGN_7_RESULT_A,"Йдучи на шум, ви тихенько пробираєтеся крізь ліс. Через деякий час ви опиняєтеся на галявині, де культисти, що стоять у колі, проводять загадковий ритуал. Один з них помічає вас і криком сповіщає інших. Зустріч перетворюється на криваву бійню. Як і слід було очікувати, ви берете гору, але ціною втрати життєвих сил"
EVENT_ROAD_CAMPAIGN_7_RESULT_B,"Без зайвих роздумів ви повертаєтеся на дорогу і продовжуєте йти наміченим шляхом."
EVENT_ROAD_CAMPAIGN_8_INTRO,"Дорогою ви зустрічаєте самотнього подорожнього, що йде вам назустріч.<br><br>Порівнявшись із вами, він починає розмову:<br>- Гей, наймиліші! Гадаю, у вас знайдеться монетка для бідного подорожнього? - запитує він.<br>- А точніше, жменька монеток.<br><br>Поки ви здивовано дивитеся на незнайомця, він продовжує:<br>- Розумієте, я очолюю місцеву банду злодіїв і розбійників. Треба ж їх якось годувати.<br><br>У цей момент із кущів з'являється та сама банда.<br><br>- Так от, щодо монетки... - вимовляє подорожній з посмішкою. - П'яти золотих з кожного буде цілком достатньо"
EVENT_ROAD_CAMPAIGN_8_OPTION_A,"Заплатити злодіям"
EVENT_ROAD_CAMPAIGN_8_OPTION_B,"Дати гідну відсіч, намагаючись убити якомога більше злодіїв."
EVENT_ROAD_CAMPAIGN_8_RESULT_A,"Ви зітхаєте і простягаєте все золото, що змогли зібрати. Грабіжник продовжує посміхатися.<br><br>- Що ж, дякую, найдобріші панове. Радий був познайомитися, і гарного вам дня!<br><br>Ви з розбійниками вирушаєте кожен своєю дорогою"
EVENT_ROAD_CAMPAIGN_8_RESULT_B,"Не вражені засідкою, ви оголюєте зброю і накидаєтеся на розбійників, які вилазять із кущів. Ватажок намагається сховатися, але і він гине від ваших клинків. І хоча розбійників зібралося чимало, вони для вас не становлять серйозної загрози. Здається, ніби вони виснажені й ослаблені. Схоже, що ватажок не жартував: їх справді не завадило б погодувати."
EVENT_ROAD_CAMPAIGN_9_INTRO,"Перетинаючи рівнину, ви бачите незнайомця в обладунках, який сидить, притулившись до величезного валуна. Підійшовши ближче, ви помічаєте, що він серйозно поранений і стікає кров'ю.<br><br>- Та я щасливчик, - каже він. - Відстав від патруля, потім невдала зустріч із ведмедем. Боюся, що сил стояти в мене не залишилося.<br><br>Потім він благально дивиться на вас:<br><br>- Не поділитеся зіллям або чим-небудь, що може повернути мені сили? Мені б трохи підбадьоритися, і тоді я зможу дістатися до Похмурої гавані."
EVENT_ROAD_CAMPAIGN_9_OPTION_A,"Допомогти стражнику."
EVENT_ROAD_CAMPAIGN_9_OPTION_A_UNAVAILABLE,"Немає потрібних предметів."
EVENT_ROAD_CAMPAIGN_9_OPTION_B,"Сказати, що нічого з собою не взяли на такий випадок, і вирушити далі."
EVENT_ROAD_CAMPAIGN_9_RESULT_A,"Ви з радістю відгукуєтеся на прохання і ділитеся з пораненим своїми запасами. Він повільно встає, дякує вам і прямує в бік Похмурої гавані, а ви продовжуєте шлях."
EVENT_ROAD_CAMPAIGN_9_RESULT_B,"Усім своїм виглядом ви висловлюєте глибоке співчуття і вибачаєтеся за брак потрібних припасів. Потім ви швидким кроком вирушаєте своєю дорогою, а вам у спину несуться його крики:<br><br>- Стривайте! Благаю! Ви ж не кинете мене тут?"
EVENT_RopeBridge,"Стежка веде вас до яру, де, наскільки ви можете бачити, є тільки старий хиткий мотузковий міст. Мотузки виглядають дуже зношеними, а дерев'яні дошки доволі гнилими, але пошук іншого шляху, схоже, займе досить багато часу."
EVENT_RopeBridge_A,"Перейти мотузковим мостом"
EVENT_RopeBridge_AnotherWay,"Пощастило! Недалеко від краю яру ви знаходите велике дерево, що впало через шторм, щоб утворити імпровізований міст. Він здається набагато міцнішим, ніж гнилий мотузковий міст, тож ви можете пройти без проблем."
EVENT_RopeBridge_AnotherWay_Gained,"Ви йдете і йдете весь залишок дня і все ще не знаходите шляху через річку. З настанням сутінків ви, нарешті, знаходите кінець яру, що дає змогу вам перетнути його і пройти довгий шлях назад до стежки на іншій стороні, настільки змучений цим несподіваним обходом, що ви відчуваєте, як у вас починає боліти голова."
EVENT_RopeBridge_B,"Спробуємо знайти інший шлях через річку"
EVENT_RopeBridge_Cross,"Мотузковий міст скрипить і небезпечно розгойдується під вашою вагою з кожним кроком, але все одно тримається, і ви без проблем добираєтеся до іншого боку. Ви зітхаєте з полегшенням і продовжуєте свій шлях."
EVENT_RopeBridge_Cross_Lost,"Мотузковий міст скрипить і небезпечно розгойдується під вашою вагою з кожним кроком. Ви майже переправляєтеся, коли раптом одна з дощок тріскається, і ви падаєте з мосту!<br><br>Ви тільки встигаєте вхопитися за одну з мотузок, що утримують дошку, перш ніж впадете в яр - але маленький мішечок із золотом злітає з вашого пояса і зникає в темряві внизу.<br><br>Ти підтягуєшся і обережно проробляєш залишок шляху до іншого боку. Ви зітхаєте з полегшенням і продовжуєте свій шлях."
EVENT_ShadowsontheWall,"Дорога, якою ви йдете, веде вас до вузької стежки біля урвища. Як єдиний шлях у полі зору, щоб досягти дна, ви починаєте свій спуск."
EVENT_ShadowsontheWall_A,"Спуститися"
EVENT_ShadowsontheWall_Descent,"Ви помічаєте, що поверхня скелі тут стає більш гладкою, коли ви спускаєтеся. Таємничі гравюри та різьблення починають з'являтися, коли ви розглядаєте стіну. Вони починають перетворюватися на тіні, які кружляють і танцюють на поверхні, ніби ведуть вас уздовж стіни до точки на землі.<br><br>У невеликій ніші біля основи стіни стоїть урна з невеликою кількістю монет усередині."
EVENT_ShadowsontheWall_Descent_A,"Зробити підношення"
EVENT_ShadowsontheWall_Descent_A_Subtext,"(Втратити ¬ShadowsOnTheWall_Offering.GoldAmount¬ Золота)"
EVENT_ShadowsontheWall_Descent_B,"Взяти золото"
EVENT_ShadowsontheWall_Descent_C,"Продовжити йти"
EVENT_ShadowsontheWall_Leave,"Нервуючи через магію, яка тут діє, ви вирішуєте йти далі, не втручаючись."
EVENT_ShadowsontheWall_Offering,"Тіні збуджено танцюють, коли ви робите підношення, перш ніж заспокоїтися і зникнути. Ви відчуваєте, що ваша пропозиція не залишилася непоміченою..."
EVENT_ShadowsontheWall_Take,"Тіні застигають на місці, коли ви берете монети з урни, перш ніж набути вільної форми загрозливого обличчя, що посилає холод донизу по хребту. В одну мить тіні і гладка стіна зникають, залишаючи позаду тільки грубий Стрімчак без будь-яких ознак урни, з якої ви взяли золото.<br><br>Ви продовжуєте йти стежкою з поганим передчуттям, що загніздилося десь у глибині вашої свідомості..."
EVENT_StrungUp,"Попереду ви бачите Куатріла, підвішеного за щиколотки до дерева, над димлячою купою зламаного лабораторного обладнання. Коли ви наближаєтеся, він помічає вас і кричить:<br><br>""Гей, ви там, мандрівники! Допоможи бідному алхіміку, гаразд?"
EVENT_StrungUp_A,"Поцікавтеся в нього, що трапилося"
EVENT_StrungUp_AskHim,"Я варив якесь зілля, використовуючи неперевірений каталізатор...""<br><br>Він показує на розбиті флакони і пробірки, що валяються на підлозі під ним.<br><br>""...коли суміш відреагувала доволі вибухонебезпечно і запустила мій сеткомет! Наступне, що я пам'ятаю, це те, що я вже звисаю донизу головою з цього дерева! Допоможеш мені спуститися?"
EVENT_StrungUp_AskHim_A,"Спробуйте йому допомогти"
EVENT_StrungUp_AskHim_B,"Обібрати його"
EVENT_StrungUp_AskHim_C,"Залиш його в спокої."
EVENT_StrungUp_B,"Спробувати допомогти йому"
EVENT_StrungUp_C,"Пограбувати його"
EVENT_StrungUp_D,"Залишити його"
EVENT_StrungUp_HelpHim,"Ви перерізаєте мотузку, і Куатріл примудряється граціозно приземлитися на землю.<br><br>- Велике вам спасибі! Не так уже й багато людей, які подорожують у наші дні цими місцями. Я боявся, що пробуду там кілька днів або навіть гірше...<br><br>Ви прощаєтеся і йдете далі дорогою."
EVENT_StrungUp_HelpHim_Gained,"Ви перерізаєте мотузку, і Куатріл примудряється граціозно приземлитися на землю.<br><br>- Велике вам спасибі! Не так уже й багато людей, які подорожують у наші дні цими місцями. Я боявся, що я пробуду там кілька днів або навіть гірше...<br><br>Він лізе в один із численних мішечків, що висять у нього на поясі, і дістає невелику жменю монет.<br><br>- Ось, маленький знак моєї вдячності!<br><br>Ви прощаєтеся і йдете далі дорогою."
EVENT_StrungUp_Leave,"Спійманий у пастку Куатріл випускає потік образ і лайок, коли ви холодно повертаєтеся і йдете, не надавши допомоги."
EVENT_StrungUp_RobHim,"Спійманий у пастку Куатріл обрушує на вас потік образ і лайок, поки ви копаєтеся в уламках на землі під ним.<br><br>Обладнання, схоже, було зіпсовано недавнім невдалим експериментом, і ви не знаходите нічого корисного. Ти залишаєш киплячого від злості Кватрила напризволяще."
EVENT_StrungUp_RobHim_Gained,"Спійманий у пастку Куатріл обрушує на вас потік образ і лайок, поки ви риєтеся в його рюкзаку на землі під ним.<br><br>Устаткування, схоже, було зіпсовано нещодавнім невдалим експериментом, але ви справді знаходите неушкоджене зілля, перш ніж залишити димлячого від люті Катріла напризволяще."
EVENT_StrungUp_Unavailable,"Винахідник: ""Я відмовляюся красти у свого товариша Куатріла!"
EVENT_The WomanoftheWoods,"Коли ви продовжуєте свій шлях, з-за дерев виходить стара і перегороджує вам шлях. Вона одягнена в рваний одяг, а на шиї в неї висить іржаве намисто.<br><br>- Вітаю вас, мандрівники - каже вона - Я відчуваю, що вам потрібна допомога у ваших пошуках, і, можливо, я зможу зробити вам послугу. Скажи мені, що вам потрібно найбільше?"
EVENT_The WomanoftheWoods_A,"Дайте відповідь ""Золото"
EVENT_The WomanoftheWoods_B,"Дайте відповідь ""Знання"
EVENT_The WomanoftheWoods_C,"Дайте відповідь ""Сила"
EVENT_The WomanoftheWoods_D,"Покинути"
EVENT_The WomanoftheWoods_GotGold,"- Як ви передбачувані! - вона хихикає.<br><br>Вона махає руками, і на землі поруч із тобою з'являється маленька купка золота. Ви піднімаєте його і знову повертаєтеся обличчям до жінки - тільки щоб виявити, що вона зникла. Ви продовжуєте йти стежкою, а в кишені побрязкують монети."
EVENT_The WomanoftheWoods_GotPower,"Вона посміхається беззубою посмішкою, клацає пальцями і зникає. Ви раптово почуваєтеся сповненим енергії, усі болі зникли в одну мить. Посвіжілий ви вирушаєте в дорогу."
EVENT_The WomanoftheWoods_GotXP,"- Воістину мудрий вибір! - відповідає вона. Вона робить паси руками, і ти падаєш на підлогу, втрачаючи свідомість. Коли ви приходите до тями, жінки ніде не видно, але ви відчуваєте, що ваші навички покращилися."
EVENT_The WomanoftheWoods_Leave,"Остерігаючись дивних бабусь, які раптом вискакують на вас з-за дерев, ви вирішуєте не відповідати їй і поспішно залишаєте територію."
EVENT_TheFunGuy,"Йдучи лісовою галявиною, ви помічаєте щось, заховане в підліску. При найближчому розгляді ви бачите, що це тіло Інокса обличчям вниз на землі, і явно давно мертве. Гриби почали проростати гронами по всьому тілу, що розкладається, і від нього виходить огидний сморід.<br><br>Шукаючи що-небудь цінне на трупі, ви бачите, що більша частина спорядження Інокса занадто прогнила, щоб бути корисною. Його черевики, однак, виглядають потенційно придатними для використання."
EVENT_TheFunGuy_A,"Взяти взуття"
EVENT_TheFunGuy_B,"Залишити тіло в спокої"
EVENT_TheFunGuy_NoBootsForYou,"Не бажаючи ризикувати зараженням, ви вирішуєте залишити труп у спокої."
EVENT_TheFunGuy_TryTakingBoots,"Вам вдається стягнути чоботи з трупа, але вони прогнили наскрізь і розпадаються у ваших руках. Не в силах більше виносити сморід трупа, ви поспішно залишаєте це місце."
EVENT_TheFunGuy_TryTakingBoots_Gold,"Вам вдається стягнути чоботи з трупа, але вони прогнили наскрізь і розпадаються у ваших руках. Маючи намір піти, ви відкидаєте мокре взуття вбік, коли помічаєте маленький мішечок, прив'язаний до щиколотки трупа.<br><br>З великою обережністю ви відкриваєте мішечок і знаходите всередині кілька золотих монет! Не в силах більше виносити сморід трупа, ви берете золото і поспішно залишаєте це місце."
EVENT_TheFunGuy_TryTakingBoots_Poison,"Коли ви знімаєте чоботи, вони починають розвалюватися, і великі шматки гнилої плоті з ніг Інокса відриваються разом із ними. Хмара спор викидається з грибів, потривожених вашим зняттям чобіт, і накриває всю групу.<br><br>Вас переповнює відчуття нудоти, і ви відстрибуєте від трупа, але вже надто пізно - ви отруєні. Ти відкидаєш промоклі черевики вбік і продовжуєш іти через галявину, почуваючись жахливо."
EVENT_TheLongDead,"Стежка стає все менш і менш помітною в міру того, як ви проходите через густий ліс. Через деякий час ви приходите до висновку, що, мабуть, звернули не туди, і намагаєтеся знайти дорогу назад на дорогу.<br><br>У пошуках шляху ви випадково натрапляєте на залишки старого вогнища на невеличкій галявині, оточеній рештками скелетів кількох тіл на землі. Щоб тут не сталося, це сталося досить давно."
EVENT_TheLongDead_A,"Обшукати тіла"
EVENT_TheLongDead_B,"Покинути"
EVENT_TheLongDead_Leave,"Отже, втомившись від того, що ви заблукали і прагнете знайти свій шлях назад, ви залишаєте скелети в спокої і відновлюєте пошуки шляху."
EVENT_TheLongDead_Search,"Усе цінне, що колись було у цих скелетів, давно згнило і заіржавіло. Втомившись від того, що ви заблукали і прагнете знайти свій шлях назад, ви залишаєте скелети і відновлюєте пошуки шляху."
EVENT_TheLongDead_Search_Gained_Damage,"Ви сідаєте поруч з одним зі скелетів, щоб знайти що-небудь цінне, коли чуєте скрип позаду себе. Ти повертаєшся якраз вчасно, щоб не отримати іржавим мечем прямо в обличчя від якихось ожилих кісток! Скелети піднялися з землі, щоб убити тих, хто наважиться потривожити їхній сон.<br><br>Ви перемагаєте ожилі рештки кількома добре розрахованими ударами, хоча, і пропустивши кілька їхніх несподіваних атак.<br><br>На жаль, їхнє спорядження проржавіло настільки, що його не варто брати, тож ви відновлюєте пошуки стежки, злегка накульгуючи."
EVENT_TheLongDead_Search_Gained_Gold,"Більшість із того, що колись було в цих скелетів, давно згнило та заіржавіло, однак вам усе ж вдається знайти зів'ялий мішечок із монетами, який витримав випробування часом!"
EVENT_TheLongDead_Search_Gained_Item,"Більшість із того, що колись було в цих скелетів, давно згнило та заіржавіло, проте вам вдається знайти невеличкий предмет, який витримав випробування часом!"
EVENT_TheOldWell,"Ви виявляєте старий колодязь на узбіччі дороги. Деякі люди вірять, що, кинувши кілька монет, вони принесуть удачу."
EVENT_TheOldWell_A,"Заплатіть колодязю карбованою монетою"
EVENT_TheOldWell_A_Subtext,"(Втратити ¬Старий Колодязь.GoldAmount¬ золота)"
EVENT_TheOldWell_B,"Залишити колодязь у спокої"
EVENT_TheOldWell_CoinsDropped,"Монети роблять задовільну серію ляпасів, коли вони досягають води на дні старого колодязя. Ви не можете позбутися відчуття, що стали жертвою дурного забобони. Ви продовжуєте йти дорогою, відчуваючи себе не більш щасливим, ніж раніше."
EVENT_TheOldWell_CoinsDropped_Gained_Bless,"Щойно монети прослизають крізь пальці, ви відчуваєте, що з ваших плечей звалилася величезна ноша.<br><br>Відчуваючи себе благословенним, ви продовжуєте свій шлях."
EVENT_TheOldWell_CoinsDropped_Gained_Item,"Перш ніж ви почули, як монети впали на дно, ви помітили, що на іншому боці колодязя лежить рюкзак! Той, хто його залишив, уже давно пішов, тож ви самі розберетеся з його вмістом.<br><br>Він був там весь цей час? Немає способу дізнатися напевно..."
EVENT_TheOldWell_Leave,"Ви їдете далі, задовольняючись тим, що ваші монети все ще дзвенять у кишені."
EVENT_TheShrine,"На перехресті ви бачите багато прикрашене дерев'яне святилище з прорізом для подорожніх, які проходять повз, щоб зробити підношення із золота в надії отримати БЛАГОСЛОВЕННЯ."
EVENT_TheShrine_A,"Зробити невелике пожертвування"
EVENT_TheShrine_A_Subtext,"(Втратити ¬TheShrine_Small.GoldAmount¬ золота)"
EVENT_TheShrine_B,"Зробити розумне пожертвування"
EVENT_TheShrine_B_Subtext,"(Втратити ¬TheShrine_Medium.GoldAmount¬ золота)"
EVENT_TheShrine_C,"Зробити значне пожертвування"
EVENT_TheShrine_C_Subtext,"(Втратити ¬TheShrine_Large.GoldAmount¬ золота)"
EVENT_TheShrine_D,"Розбити святилище і забрати золото"
EVENT_TheShrine_E,"Покинути"
EVENT_TheShrine_Large,"Ви кладете щедру кількість монет у слот і чекаєте...<br><br>Спочатку здається, що нічого не відбувається, але незабаром ви відчуваєте тепло сонця, що сяє на вас. Наповнений відчуттям омолодження від сонячного світла, ви повертаєтеся, щоб продовжити шлях - і раптом помічаєте на вершині вівтаря зілля, якого, як ви впевнені, там раніше не було.<br><br>Взявши зілля в нагороду за свою щедрість, ви піднімаєте його і вирушаєте далі, задоволені тим, що вашу пропозицію, здається, було гідно оцінено."
EVENT_TheShrine_Leave,"Ви вирішуєте не робити жодних дарів і продовжуєте свій шлях."
EVENT_TheShrine_Medium,"Ви кладете в щілину пристойну кількість монет і чекаєте...<br><br>Спочатку здається, що нічого не відбувається, але невдовзі ви відчуваєте тепло сонця, що сяє на вас. Наповнений відчуттям омолодження від сонячного світла, ви продовжуєте йти дорогою, задоволений тим, що вашу пропозицію, здається, було гідно оцінено."
EVENT_TheShrine_Small,"Ви кладете в щілину невелику кількість монет і чекаєте... але нічого не відбувається.<br><br>Ви продовжуєте йти дорогою, розмірковуючи над питанням, чи були б ви винагороджені, якби були щедрішими."
EVENT_TheShrine_Smash,"Храм добре зроблений і не ламається легко, але врешті-решт він піддається вашим атакам і розколюється, розсипаючи монети на землю перед вами.<br><br>Ви швидко збираєте монети і продовжуєте йти стежкою, помічаючи раптовий холод у повітрі, який змушує вас тремтіти. Ви не можете не задатися питанням, чи не залишився ваш безчесний вчинок непоміченим..."
EVENT_TheStorm,"Коли ви йдете стежкою, хмари над головою темніють, і починається дощ. Через кілька миттєвостей ви опиняєтеся в епіцентрі повномасштабної бурі, супроводжуваної приголомшливими гуркотами грому і спалахами блискавок.<br><br>Ви помічаєте крізь проливний дощ, що блискавка, здається, вдаряє в одне й те саме місце кілька разів."
EVENT_TheStorm_A,"Розвідати"
EVENT_TheStorm_B,"Пошукати укриття"
EVENT_TheStorm_Bridge,"Під мостом холодно і брудно, але там, принаймні, можна сховатися від грози. Ви дивитеся на велике дерево, яке мало не вирішили використати як укриття, як раптом у нього вдаряє блискавка і воно вибухає!<br><br>Ви зітхаєте з величезним полегшенням, що обрали розумний варіант, і розмірковуєте про свій досвід, перечікуючи бурю."
EVENT_TheStorm_Investigate,"Ви підходите до того місця, де, здається, сфокусована блискавка, і помічаєте металевий предмет, що стирчить із землі у спалаху від удару блискавки. Схоже, що цей предмет діє як громовідвід, притягуючи удари з незвичною для такого маленького предмета послідовністю - цілком можливо, це артефакт із магічними властивостями."
EVENT_TheStorm_Investigate_A,"Спробувати взяти предмет"
EVENT_TheStorm_Investigate_B,"Ігнорувати предмет і шукати укриття"
EVENT_TheStorm_SeekShelter,"Прагнучи сховатися від дощу, ви бачите попереду велике дерево, яке можна використати як укриття - або ж ви можете повернутися до мосту через брудний струмок, який ви бачили раніше."
EVENT_TheStorm_SeekShelter_A,"Сховатися під деревом"
EVENT_TheStorm_SeekShelter_B,"Сховатися під мостом"
EVENT_TheStorm_Take_Gained1,"Ви чекаєте зручного моменту між ударами, щоб наблизитися до предмета - лише для того, щоб раптово вдарити себе!<br><br>Не бажаючи ризикувати подальшими травмами, ви вирішуєте залишити об'єкт у спокої, щоб вас не вдарили знову."
EVENT_TheStorm_Take_Gained2,"Ви чекаєте зручного моменту між ударами, щоб наблизитися до предмета і відірвати його від землі.<br><br>Щойно предмет відривається від землі, ви відчуваєте раптову зміну тиску повітря навколо вас, і буря починає вщухати. Уважно вивчивши предмет, він виявляється ¬TheStorm_Take.Item¬!<br><br>Задоволений своєю знахідкою, ви вирушаєте в дорогу, а промені сонця починають пробиватися крізь грозові хмари, що розсіюються."
EVENT_TheStorm_Take_Gained3,"Ви чекаєте зручного моменту між ударами, щоб наблизитися до предмета і відірвати його від землі - але не раніше, ніж самі будете вражені блискавкою!<br><br>Щойно предмет відривається від землі, ви відчуваєте раптову зміну тиску повітря навколо вас, і буря починає вщухати. Уважно вивчивши предмет, він виявляється ¬TheStorm_Take.Item¬!<br><br>Дещо обпалений, але тим не менш задоволений своєю знахідкою, ви вирушаєте далі, коли промені сонячного світла починають пробиватися крізь грозові хмари, що розсіюються."
