Keys,Ukrainian [uk-UA]
085_B,"Для наступних трьох джерел шкоди від атак, спрямованих на вас, натомість не зазнавайте шкоди та отримуйте <nobr>ВІДПЛАТУ <sprite name=Retaliate> 3,</nobr> <nobr>ДАЛЬНІСТЬ <sprite name=Range> 3.</nobr>"
086_B_1,"Виберіть гекс у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4.</nobr>"
086_B_2,"Виберіть ціллю всіх ворогів у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4</nobr> від вибраного гекса та притягніть їх до нього"
087_T_1,"Виберіть ціллю всіх ворогів у тій самій кімнаті, що й ви"
087_T_2,"Усі союзники в тій самій кімнаті, що й ви, зазнають 2 шкоди."
088_B,"Для ваших наступних чотирьох атак, спрямованих на ворогів, які не сусідять із жодним зі своїх союзників, додайте <nobr>+2 до АТАКИ <sprite name=Attack>.</nobr>"
088_T,"Додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, коли ціль знаходиться по сусідству з будь-яким <nobr>із ваших союзників.</nobr>"
090_T,"Для вашої наступної атаки під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr> подвойте силу атаки та отримайте <sprite name=XP2>."
091_T,"Додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, коли ціль не сусідня з жодним зі своїх союзників."
092_T,"Знешкодьте одну сусідню пастку."
097_B_1,"Змусьте одного сусіднього ворога виконати"
097_B_2,"під вашим контролем, закінчуючи рух у сусідньому з вами гексі."
097_T_1,"Додайте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> за кожного вашого союзника, сусіднього з ціллю."
097_T_2,"Натомість додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr>, <sprite name=XP1>."
098_B,"Наступного разу, коли ви зазнаєте шкоди цього раунду, натомість не зазнавайте шкоди."
098_T,"Додайте +X до АТАКИ <sprite name=Attack>, де X — подвоєне значення Щита цілі."
099_B,"Здійснюйте ЗДОБИЧ <sprite name=Loot> у кожному гексі, в який ви заходите під час цієї дії."
100_T,"Додайте РАНУ <sprite name=Wound> та отримайте <sprite name=XP1>, коли ціль знаходиться по сусідству з будь-ким <nobr>із ваших союзників.</nobr>"
103_B,"Додайте +2 до АТАКИ <sprite name=Attack> для всіх ваших атак цього раунду, спрямованих на ворогів, які не сусідять із жодним зі своїх союзників."
104_B,"Отримайте перевагу на всі ваші атаки цього раунду."
105_T_1,"Додайте <nobr>+3 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, коли ціль знаходиться по сусідству з будь-яким <nobr>із ваших союзників.</nobr>"
105_T_2,"Додайте <nobr>+3 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, коли ціль не сусідня з жодним <nobr>зі своїх союзників.</nobr>"
106_B,"Для ваших наступних шести атак, спрямованих на ворогів із <nobr>РОЗЗБРОЄННЯМ <sprite name=Disarm></nobr>, <nobr>ПАРАЛІЧЕМ <sprite name=Immobilize></nobr> або <nobr>ОГЛУШЕННЯМ <sprite name=Stun></nobr>, <nobr>додайте +2 до АТАКИ <sprite name=Attack>.</nobr>"
107_T,"Убийте одного сусіднього звичайного ворога, який не сусідній із жодним зі своїх союзників і водночас сусідній із будь-ким <nobr>із ваших союзників.</nobr>"
108_T,"Додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr> для всіх ваших атак, спрямованих на ворогів з <nobr>ОТРУЄННЯМ <sprite name=Poison>.</nobr>"
110_T,"Додайте <nobr>+4 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP2>, коли ціль знаходиться по сусідству з будь-яким із ваших союзників."
111_B,"Для вашої наступної атаки, спрямованої на ворога, який не сусідній із жодним зі своїх союзників і водночас сусідній із будь-яким із ваших союзників, подвойте силу атаки та отримайте <sprite name=XP2>."
111_T,"Виберіть ціллю одного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr>, щоб він зазнав ефектів <nobr>знешкодженої пастки</nobr>."
113_B,"Убийте одного сусіднього ворога, чиє поточне значення здоров'я дорівнює або менше ніж 3."
114_B,"Змусьте одного сусіднього звичайного або елітного ворога виконати свій хід цього раунду так, ніби його союзники були ворогами, а вороги — союзниками, під вашим контролем."
115_T,"Додайте <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> та <nobr>РАНУ <sprite name=Wound></nobr> до всіх ваших атак."
116_B,"Для наступних шести ближніх атак, спрямованих на вас, отримуйте <nobr>ВІДПЛАТУ <sprite name=Retaliate> *BRetaliate*.</nobr>"
118_B,"Створіть дві одногексові перешкоди в порожніх гексах, сусідніх із вами."
119_B,"Усі сусідні союзники та вороги зазнають *BDamage* шкоди."
120_T,"Усі союзники та вороги, сусідні з ціллю, зазнають 1 шкоди."
121_T,"Для ваших наступних чотирьох дій далекобійної Атаки отримайте ДОДАТИ ЦІЛЬ <sprite name=Target>."
122_T,"Зруйнуйте одну сусідню перешкоду."
123_B,"Усі союзники зазнають<nobr> *BShieldSubDamage* шкоди</nobr>."
123_T_2,"Усі сусідні союзники зазнають <nobr>*TDamage* шкоди</nobr>"
124_B_1,"Усі сусідні союзники та вороги зазнають <nobr>*BDamage1* шкоди</nobr>."
124_B_2,"Усі сусідні союзники та вороги зазнають <nobr>*BDamage2* шкоди</nobr>."
124_B_3,"<nobr>Натомість 2 шкоди, <sprite name=XP1></nobr>"
125_T,"<nobr>ДЕЗОРІЄНТУЙТЕ <sprite name=Muddle></nobr> усіх союзників та ворогів у цільовій зоні."
127_B,"Додайте +1 до АТАКИ <sprite name=Attack> для всіх ваших далекобійних атак цього раунду."
127_T,"Ви можете штовхнути ціль у гекси, що містять перешкоди. У кожному такому випадку перешкода руйнується, ціль зазнає 2 шкоди, а ви отримуєте <sprite name=XP1>."
128_B,"Додайте +2 до АТАКИ <sprite name=Attack> для всіх ваших ближніх атак цього раунду."
129_B,"Для ваших наступних шести дій далекобійної Атаки, коли <nobr>Повітря <sprite name=Air></nobr> наповнене, спожийте <nobr>Повітря <sprite name=ConsumeAir></nobr>, щоб додати <nobr>+2 до ДАЛЬНОСТІ <sprite name=Range></nobr> для всієї дії Атаки."
130_T,"Виберіть ціллю всіх ворогів, сусідніх зі зруйнованою перешкодою"
131_T,"Впливає на всіх союзників у цільовій зоні"
132_B,"Руйнуйте всі перешкоди та знешкоджуйте всі пастки, через які проходите."
132_T_1,"Перемістіть одну сусідню одногексову перешкоду на порожній гекс у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4</nobr>."
132_T_2,"Виберіть ціллю всіх ворогів, сусідніх із переміщеною перешкодою"
134_T_1,"Створіть три одногексові перешкоди в порожніх гексах у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4</nobr>."
134_T_2,"Усі союзники та вороги, сусідні з однією або кількома створеними перешкодами, зазнають 2 шкоди."
136_T_1,"Убийте одного звичайного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4.</nobr>"
136_T_2,"Створіть одну одногексову перешкоду в гексі, де загинув цей ворог."
137_B,"Для ваших наступних чотирьох ближніх атак, за можливості, зруйнуйте сусідню перешкоду, щоб додати <nobr>+3 до АТАКИ <sprite name=Attack>.</nobr>"
138_T,"Створіть одну пастку з ОГЛУШЕННЯМ <sprite name=Stun> на 2 шкоди в сусідньому порожньому гексі."
139_T,"Накладіть ПАРАЛІЧ <sprite name=Immobilize> на всіх союзників та ворогів у цільовій зоні."
140_T_1,"Створіть одну тригексову трикутну перешкоду в порожніх гексах у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr>."
140_T_2,"Виберіть ціллю всіх ворогів, сусідніх із цією перешкодою"
141_B_1,"Додайте +1 до АТАКИ <sprite name=Attack> для всіх ваших далекобійних атак цього раунду."
141_B_1_Alt,"Додайте +2 до АТАКИ <sprite name=Attack> для всіх ваших далекобійних атак цього раунду."
141_B_2,"Натомість додайте +2 до АТАКИ <sprite name=Attack>, <sprite name=XP1>."
141_T,"За кожен гекс, на який ви не можете штовхнути ціль через стіну або перешкоду, ціль зазнає 2 шкоди, а ви отримуєте <sprite name=XP1>."
142_B,"Рух має закінчитися в гексі, сусідньому з перешкодою."
142_T_1,"Зруйнуйте всі перешкоди в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2.</nobr>"
142_T_2,"де X — подвоєна кількість гексів, які займали зруйновані перешкоди."
143_B,"На початку ваших наступних п'яти ходів виконайте дію <nobr>«Лікування <sprite name=Heal> 2,</nobr> <nobr>ДАЛЬНІСТЬ <sprite name=Range> 2».</nobr>"
144_B,"Усі союзники та вороги, сусідні з будь-якими гексами, в які ви заходите під час руху, зазнають <nobr>2 шкоди.</nobr>"
144_T,"Усі союзники та вороги, сусідні з ціллю, зазнають шкоди в розмірі шкоди, якої зазнала ціль."
145_T,"Ви можете штовхнути цілі в гекси, що містять перешкоди. У кожному такому випадку перешкода руйнується, ціль зазнає 2 шкоди, а ви отримуєте <sprite name=XP1>."
146_B_1,"Змусьте одного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 5 </nobr> виконати"
146_B_2,"спрямовану на іншого ворога, під вашим контролем."
146_T,"Додайте +1 до АТАКИ <sprite name=Attack> за кожен негативний стан на цілі."
149_B,"Якщо ви закінчуєте рух у тому самому гексі, де й почали, виконайте"
150_T,"Прикличте Чумного Щура"
152_B,"Змусьте одного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4 </nobr> виконати"
154_T,"Додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1> за кожен негативний стан на цілі."
157_B,"Один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> <nobr>може виконати</nobr>"
157_T,"Один сусідній союзник може виконати"
159_T,"Прикличте Чудовищного Щура"
160_B,"Змусьте одного звичайного або елітного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> виконати свій хід цього раунду так, ніби його союзники були ворогами, а вороги — союзниками."
163_T,"Отримайте один додатковий стос золота за кожного сусіднього ворога"
164_T_1,"Убийте одного звичайного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4.</nobr>"
164_T_2,"Виберіть ціллю всіх ворогів, сусідніх із вбитим ворогом"
165_B,"Ви можете мати два активні <nobr><color=#A7B3D2>АУГМЕНТИ</color> <sprite name=Augment></nobr> одночасно. Якщо розігрується третій <nobr><color=#A7B3D2>АУГМЕНТ</color> <sprite name=Augment></nobr>, скиньте один з інших."
166_B,"Змусьте одного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 5 </nobr> виконати"
170_B,"Усі ваші далекобійні атаки отримують ефекти ваших <nobr><color=#A7B3D2>АУГМЕНТІВ</color> <sprite name=Augment></nobr> цього раунду."
172_B,"Змусьте одного звичайного або елітного ворога в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 5</nobr> виконати свій хід цього раунду так, ніби його союзники були ворогами, а вороги — союзниками, під вашим контролем."
172_T,"Ця атака отримує ефекти ваших <nobr> <color=#A7B3D2>АУГМЕНТІВ</color> <sprite name=Augment> </nobr>."
173_B,"Усі союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> додають <nobr>+X до Атаки</nobr> до всіх своїх атак цього раунду, де X — кількість ваших союзників у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> від вас."
173_T_1,"Прикличте Щурячого Короля"
173_T_2,"X — половина поточного здоров'я <nobr>Щурячого Короля</nobr> (округлена в більшу сторону)."
175_T,"Для наступних п'яти ближніх атак, спрямованих на вас, отримуйте <nobr>ВІДПЛАТУ <sprite name=Retaliate> *TRetaliate*.</nobr>"
177_T,"Один сусідній союзник може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> одну зі своїх втрачених карт."
178_T_1,"Один сусідній союзник може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> дві свої скинуті карти."
178_T_2,"Натомість до трьох скинутих карт, <sprite name=XP1>."
179_B,"Ви та всі сусідні союзники не зазнаєте шкоди цього раунду."
184_B,"Відніміть -1 від РУХУ <sprite name=Move> для всіх ваших переміщень."
185_T,"Вилікуйте всю шкоду на одному <nobr>сусідньому союзнику.</nobr>"
187_B,"<line-height=110%>Наприкінці ваших наступних п'яти ходів, якщо <size=150%><voffset=-3><sprite name=Light></voffset></size> не є Сильним, наповніть <size=150%><voffset=-3><sprite name=Light></voffset></size>."
190_T,"Один сусідній союзник може негайно виконати один додатковий хід, зігравши дві карти зі своєї руки."
192_B,"Усі союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 5</nobr> <nobr>можуть виконати</nobr>"
194_B,"Усі атаки, спрямовані на вас або будь-якого союзника в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4</nobr> від вас, отримують ускладнення цього раунду."
196_T,"Відніміть <nobr>-1 від АТАКИ <sprite name=Attack></nobr> для всіх ваших атак."
197_B,"Усі союзники додають <nobr>+2 до РУХУ <sprite name=Move></nobr> до всіх своїх переміщень цього раунду."
197_T,"Усі союзники додають <nobr>+1 до АТАКИ <sprite name=Attack></nobr> до всіх своїх атак цього раунду."
199_T,"Під час будь-якої вашої дії Атаки ви можете <sprite name=ConsumeLight>, щоб додати <nobr>+2 до АТАКИ <sprite name=Attack></nobr>, отримати перевагу та <sprite name=XP1>."
200_B,"Натомість до двох втрачених карт, <sprite name=XP1>"
202_T,"Натомість убийте одного звичайного або елітного ворога, <sprite name=XP1>"
203_T,"Для ваших наступних чотирьох дій Атаки додайте <nobr>+3 до АТАКИ <sprite name=Attack></nobr>, <nobr>РАНУ <sprite name=Wound></nobr>, та отримайте перевагу."
204_T,"Коли будь-який союзник зазнає шкоди, ви можете натомість зазнати цієї шкоди, зменшеної на 1."
205_T,"Усі союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> <nobr>ОНОВЛЮЮТЬ <sprite name=Refresh></nobr> один зі своїх витрачених або використаних предметів."
206_B,"<nobr>ОНОВІТЬ <sprite name=Refresh></nobr> всі свої використані <nobr>малі предмети <sprite name=InvSmallItem></nobr>."
207_B,"Ви та всі союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> додаєте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всіх ваших атак цього раунду."
208_T,"Один раз під час кожної вашої дії Атаки, якщо ви використовуєте предмет, додайте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всієї дії Атаки."
215_T,"<nobr>ОНОВІТЬ <sprite name=Refresh></nobr> один зі своїх використаних <nobr>малих предметів <sprite name=InvSmallItem></nobr>."
216_T,"Один сусідній союзник може <nobr>ОНОВИТИ <sprite name=Refresh></nobr> всі свої витрачені предмети."
217_B,"<nobr>ВІДНОВІТЬ <sprite name=Recover></nobr> до двох своїх скинутих карт."
217_T,"Ви або один сусідній союзник можете <nobr>ОНОВИТИ <sprite name=Refresh></nobr> один витрачений або використаний <nobr>одноручний предмет <sprite name=InvOneHand></nobr> або <nobr>дворучний предмет <sprite name=InvTwoHands></nobr>."
219_B,"<nobr>ВІДНОВІТЬ <sprite name=Recover></nobr> до двох своїх втрачених карт."
219_T,"Наприкінці кожного вашого ходу ви можете скинути карту, щоб дозволити сусідньому союзнику <nobr>ОНОВИТИ <sprite name=Refresh></nobr> один зі своїх використаних <nobr>малих предметів <sprite name=InvSmallItem></nobr>."
221_T,"Один сусідній союзник може <nobr>ОНОВИТИ <sprite name=Refresh></nobr> всі свої витрачені та використані предмети."
223_T,"Наприкінці кожного раунду <nobr>ОНОВІТЬ <sprite name=Refresh></nobr> один зі своїх витрачених предметів."
224_T,"Ви та всі вороги в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 4</nobr> зазнаєте 2 шкоди."
225_B,"Ви та всі звичайні вороги в цільовій зоні зазнаєте 7 шкоди."
226_T,"Якщо будь-який сусідній союзник виконує дію далекобійної атаки, цей союзник отримує <nobr>ДОДАТИ ЦІЛЬ <sprite name=Target></nobr> для цієї атаки."
228_B,"Будь-який союзник може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> всі свої скинуті карти."
228_T,"Щоразу, коли ви здійснюєте довгий відпочинок, <nobr>ОНОВЛЮЙТЕ <sprite name=Refresh></nobr> один зі своїх використаних предметів."
229_B,"Під час усіх ваших атак цього раунду ігноруйте значення Щита всіх ваших цілей."
230_T,"Наприкінці ваших наступних п'яти ходів виконайте дію «<nobr>Лікування <sprite name=Heal> 2</nobr>, Впливає на всіх сусідніх союзників»."
231_T,"Убийте одного сусіднього звичайного або елітного ворога."
232_B,"Ви та всі сусідні союзники можете <nobr>ОНОВИТИ <sprite name=Refresh></nobr> всі ваші використані <nobr>малі предмети <sprite name=InvSmallItem></nobr>."
235_B,"Усі атаки, спрямовані на вас та всіх прикликаних союзників, отримують ускладнення цього раунду."
235_T,"2 Тіньових вовка"
236_B,"ВІДНОВІТЬ <sprite name=Recover> до чотирьох своїх <nobr>втрачених карт.</nobr>"
238_T,"Один сусідній прикликаний союзник виконує"
245_T,"Під час будь-кої вашої дії Руху або дії Руху будь-якого прикликаного вами союзника, ви можете <sprite name=ConsumeEarth>, щоб додати <nobr>+2 до РУХУ <sprite name=Move> </nobr> та отримати <sprite name=XP1>."
247_T,"Убийте всіх сусідніх звичайних ворогів, чиє поточне значення здоров'я менше або дорівнює 5."
250_T,"Два прикликаних союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> виконують"
253_T,"3 Цвяхові сфери"
257_B,"Вилучіть усі карти <nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr> зі своєї колоди модифікаторів атаки, а потім замішайте скид колоди модифікаторів атаки назад у колоду."
257_T,"Наступні три рази, коли прикликані союзники мали зазнати шкоди, вони натомість не зазнають шкоди."
258_B,"Поміняйтеся місцями з будь-яким прикликаним союзником."
258_T,"Один прикликаний союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> виконує"
260_B,"Усі прикликані союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> виконують"
261_T,"Під час ваших наступних чотирьох дій Атаки під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr> виконайте «<nobr>АТАКА <sprite name=Attack> 2</nobr>, <nobr>ДАЛЬНІСТЬ <sprite name=Range> 3</nobr>» як фінальну частину дії."
263_B,"Подвойте значення всіх ваших здібностей <nobr>АТАКИ <sprite name=Attack></nobr> цього ходу, <sprite name=XP1>."
263_T,"Подвойте значення всіх ваших здібностей <nobr>РУХУ <sprite name=Move></nobr> цього ходу, <sprite name=XP1>."
266_T,"Натомість убийте одну звичайну ціль, <sprite name=XP1>."
268_T,"Додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ви перебуваєте під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr>."
270_B,"Під час ваших наступних чотирьох дій Атаки виконайте «<nobr>РУХ <sprite name=Move> 2</nobr>» як першу частину дії."
271_B,"Перемістіться на будь-який порожній гекс. Ви не можете рухатися крізь зачинені двері."
274_T,"Додайте ОГЛУШЕННЯ <sprite name=Stun> та отримайте <sprite name=XP1>, якщо ви перебуваєте під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr>."
277_T,"<line-height=110%>Наприкінці ваших наступних трьох ходів, якщо <size=150%><voffset=-3><sprite name=Dark></voffset></size> не є Сильною, наповніть <size=150%><voffset=-3><sprite name=Dark></voffset></size>."
279_B,"Під час ваших наступних чотирьох дій Руху під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr> виконайте «<nobr>АТАКА <sprite name=Attack> 2</nobr>, Виберіть ціллю всіх сусідніх ворогів» як фінальну частину дії."
283_T_1,"Отримайте перевагу на всі ваші атаки."
283_T_2,"Ви можете вибирати ціллю ворогів під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr>."
286_T,"Додайте <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>, <nobr>ДЕЗОРІЄНТАЦІЮ <sprite name=Muddle></nobr>, <nobr>РАНУ <sprite name=Wound></nobr> та отримайте <sprite name=XP1>, якщо ви перебуваєте под дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr>."
287_B,"Убийте одного сусіднього звичайного ворога, <sprite name=XP1>."
287_T,"Натомість убийте всіх звичайних ворогів, <sprite name=XP2>."
288_T,"Для ваших наступних п'яти атак під дією <nobr>НЕВИДИМОСТІ <sprite name=Invisible></nobr> додайте ОГЛУШЕННЯ <sprite name=Stun> до атаки."
289_T,"<nobr>ОТРУЇТЬ <sprite name=Poison></nobr> усіх союзників та ворогів у цільовій зоні."
290_B,"Відніміть <nobr>-1 від ДАЛЬНОСТІ <sprite name=Range></nobr> для всіх ваших далекобійних атак."
292_T,"Один раз під час кожної вашої дії Атаки ви можете <nobr>ОТРУЇТИ <sprite name=Poison></nobr> одного союзника в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> (або завдати 3 шкоди, якщо союзник уже має стан <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>), щоб додати <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всієї дії Атаки."
298_T,"Для ваших наступних шести дій Атаки, коли <nobr>Повітря <sprite name=Air></nobr> наповнене, спожийте <nobr>Повітря <sprite name=ConsumeAir></nobr>, щоб додати <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всієї дії Атаки."
300_B,"Після кожної вашої дії Руху <nobr>ОТРУЙТЕ <sprite name=Poison></nobr> усіх сусідніх союзників та ворогів."
301_T,"Зніміть стан <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> з будь-якого одного ворога, щоб він зазнав <nobr>3 шкоди</nobr>."
304_T,"<nobr>ОТРУЙТЕ <sprite name=Poison></nobr> усіх союзників, сусідніх із <nobr>ціллю.</nobr>"
305_T,"Убийте одного звичайного ворога зі станом <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3.</nobr>"
